# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
3.807517752708978964e+00,4.895156792134908841e+00,1.285655671244630316e+00,1.105040907859802246e+00,1.806147098541259766e-01,1.404845118522644043e-01
3.488906047678421718e+00,6.287073382885703055e+00,1.802018540186609341e+00,1.785072803497314453e+00,1.694571971893310547e-02,9.403743781149387360e-03
9.667796853582216743e-01,1.138930865604039155e+01,1.178066609024816458e+01,9.780123710632324219e+00,2.000542640686035156e+00,1.698157489299774170e-01
3.387903493746941663e+00,3.209463112677503283e+00,9.473301463873496919e-01,3.235410451889038086e+00,-2.288080215454101562e+00,-2.415293455123901367e+00
2.459640773739184827e-01,1.609140627299423443e+01,6.542177396308088078e+01,3.715861129760742188e+01,2.826316452026367188e+01,4.320146441459655762e-01
2.390510335147903120e+00,1.522619291987618517e+01,6.369431956015419338e+00,6.853210449218750000e+00,-4.837784767150878906e-01,-7.595315575599670410e-02
4.494608339267495145e-01,9.857834842022082711e+00,2.193257809784746470e+01,3.415585327148437500e+01,-1.222327423095703125e+01,-5.573112964630126953e-01
3.015719777372720678e+00,1.893086921016229240e+01,6.277396644145357030e+00,5.631507396697998047e+00,6.458892822265625000e-01,1.028912663459777832e-01
2.546542156370563137e-01,2.022799430420703537e+00,7.943318061161338761e+00,6.605002403259277344e+00,1.338315486907958984e+00,1.684831827878952026e-01
6.465735466170712264e-01,9.552616242352023335e+00,1.477421446072475320e+01,1.420041084289550781e+01,5.738039016723632812e-01,3.883820027112960815e-02
7.608439951173453508e-01,9.175279056408955469e+00,1.205934345975070165e+01,3.556818008422851562e+01,-2.350883674621582031e+01,-1.949429273605346680e+00
7.050432137116857678e-01,9.198712475135925715e+00,1.304701938298149244e+01,3.641976165771484375e+01,-2.337274169921875000e+01,-1.791423916816711426e+00
3.937493215799937829e+00,1.357374773879152485e+01,3.447306952637858579e+00,5.083433151245117188e+00,-1.636126279830932617e+00,-4.746100008487701416e-01
3.637392181877703745e+00,1.682443167084630886e+01,4.625410412071969013e+00,5.547329902648925781e+00,-9.219193458557128906e-01,-1.993162184953689575e-01
2.417787082286427580e+00,1.082366379567167414e+00,4.476681952256963970e-01,3.815405368804931641e-01,6.612765789031982422e-02,1.477157771587371826e-01
